Relation,Precision,Recall,F1 Score
also see,0.0,0.0,0.0
derivationally related form,0.694910978221997,0.5806075666673897,0.6326377201374491
has part,0.6462336895920076,0.18287793080487483,0.28508074681769474
hypernym,0.32536876059068365,0.745628355090344,0.45304356137831014
instance hypernym,0.38619432753901817,0.2419055045675712,0.2974767031894577
member meronym,0.1976731774394487,0.19358042930197,0.19560539706668018
member of domain region,0.3728460554597463,0.49788723738213037,0.4263884108894148
member of domain usage,0.3866137581703467,0.5969142695835408,0.4692805137363062
similar to,0.0,0.0,0.0
synset domain topic of,0.0,0.0,0.0
verb group,0.0,0.0,0.0
