head	relation	tail	prompt	prediction
11490638	_member_of_domain_usage	3754979	Is the following triple valid? Head: optical phenomenon, a physical phenomenon related to or involving light, Relation: member of domain usage, Tail: metharbital, anticonvulsant drug (trade name Gemonil) used in the treatment of epilepsy. Answer with 'Yes' or 'No'.	No
789448	_verb_group	5372290	"Is the following triple valid? Head: telephone, get or try to get into communication (with someone) by telephone; ""I tried to call you all night""; ""Take two aspirin and call me in the morning"", Relation: verb group, Tail: labyrinthine vein, veins that drain the inner ear. Answer with 'Yes' or 'No'."	No
5543177	_member_of_domain_region	5688486	Is the following triple valid? Head: synovial joint, a joint so articulated as to move freely, Relation: member of domain region, Tail: facer, (a dated Briticism) a serious difficulty with which one is suddenly faced. Answer with 'Yes' or 'No'.	Yes
2233096	_member_meronym	4077734	Is the following triple valid? Head: suborder blattodea, cockroaches; in some classifications considered an order, Relation: member meronym, Tail: rescue equipment, equipment used to rescue passengers in case of emergency. Answer with 'Yes' or 'No'.	Yes
13987719	_hypernym	1352059	Is the following triple valid? Head: blessedness, a state of supreme happiness, Relation: hypernym, Tail: bacteria family, a family of bacteria. Answer with 'Yes' or 'No'.	No
2314321	_hypernym	2403537	"Is the following triple valid? Head: phylum entoprocta, sometimes considered a subphylum of Bryozoa, Relation: hypernym, Tail: lay off, dismiss, usually for economic reasons; ""She was laid off together with hundreds of other workers when the company downsized"". Answer with 'Yes' or 'No'."	No
8621598	_hypernym	2490030	"Is the following triple valid? Head: position, the particular portion of space occupied by something; ""he put the lamp back in its place"", Relation: hypernym, Tail: family callithricidae, marmosets. Answer with 'Yes' or 'No'."	No
1003588	_has_part	3027250	"Is the following triple valid? Head: retake, photograph again; ""Please retake that scene"", Relation: has part, Tail: chuck, a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill. Answer with 'Yes' or 'No'."	No
12400489	_hypernym	394813	"Is the following triple valid? Head: breadfruit tree, native to Pacific islands and having edible fruit with a texture like bread, Relation: hypernym, Tail: mix, mix together different elements; ""The colors blend well"". Answer with 'Yes' or 'No'."	No
5316025	_derivationally_related_form	15274695	Is the following triple valid? Head: orb, the ball-shaped capsule containing the vertebrate eye, Relation: derivationally related form, Tail: breathing time, a short respite. Answer with 'Yes' or 'No'.	No
1068134	_derivationally_related_form	555447	"Is the following triple valid? Head: write up, bring to public notice by writing, with praise or condemnation; ""The New York Times wrote him up last week""; ""Did your boss write you up?"", Relation: derivationally related form, Tail: shift, move from one setting or context to another; ""shift the emphasis""; ""shift one's attention"". Answer with 'Yes' or 'No'."	Yes
10686313	_hypernym	6457952	Is the following triple valid? Head: sympathizer, commiserates with someone who has had misfortune, Relation: hypernym, Tail: apocrypha, 14 books of the Old Testament included in the Vulgate (except for II Esdras) but omitted in Jewish and Protestant versions of the Bible; eastern Christian churches (except the Coptic Church) accept all these books as canonical; the Russian Orthodox Church accepts these texts as divinely inspired but does not grant them the same status. Answer with 'Yes' or 'No'.	No
13294503	_derivationally_related_form	2234988	"Is the following triple valid? Head: rente, income from capital investment paid in a series of regular payments; ""his retirement fund was set up to be paid as an annuity"", Relation: derivationally related form, Tail: ration, restrict the consumption of a relatively scarce commodity, as during war; ""Bread was rationed during the siege of the city"". Answer with 'Yes' or 'No'."	Yes
1444326	_hypernym	1237398	"Is the following triple valid? Head: transfix, pierce with a sharp stake or point; ""impale a shrimp on a skewer"", Relation: hypernym, Tail: clap, strike together so as to produce a sharp percussive noise; ""clap two boards together"". Answer with 'Yes' or 'No'."	No
7256932	_has_part	5436080	Is the following triple valid? Head: precognition, knowledge of an event before it occurs, Relation: has part, Tail: chromatin granule, the readily stainable substance of a cell nucleus consisting of DNA and RNA and various proteins; during mitotic division it condenses into chromosomes. Answer with 'Yes' or 'No'.	No
8660339	_hypernym	8733415	"Is the following triple valid? Head: surface, the extended two-dimensional outer boundary of a three-dimensional object; ""they skimmed over the surface of the water""; ""a brush small enough to clean every dental surface""; ""the sun has no distinct surface"", Relation: hypernym, Tail: cartagena, a port city in northwestern Colombia on the Caribbean. Answer with 'Yes' or 'No'."	No
14899328	_hypernym	7085375	"Is the following triple valid? Head: medium, (bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms, Relation: hypernym, Tail: stress, the relative prominence of a syllable or musical note (especially with regard to stress or pitch); ""he put the stress on the wrong syllable"". Answer with 'Yes' or 'No'."	No
