head,tail,expected_relation,predicted_relation
6845599,3754979,member of domain usage,instance hypernym
789448,1062739,verb group,derivationally related form
8860123,5688486,member of domain region,member of domain region
2233096,2233338,member meronym,hypernym
1371092,1352059,hypernym,hypernym
2314321,8102555,hypernym,Instance hypernym
8621598,8620061,hypernym,similar to
3239726,3027250,has part,has part
12400489,12651821,hypernym,instance hypernym
779360,15274695,derivationally related form,synset
7359599,555447,derivationally related form,similar to
10686313,9610660,hypernym,hypernym
13286099,2234988,derivationally related form,derivationally related form
1444326,1441510,hypernym,Similar to
5442131,5436080,has part,has part
8660339,8512259,hypernym,similar to
7085786,7085375,hypernym,synset
6178812,10256080,derivationally related form,derivationally related form
1257145,7488875,derivationally related form,derivationally related form
2156546,7335716,derivationally related form,similar to
2270342,2577061,also see,Similar to
1938426,1835496,hypernym,verb group
8814333,8524735,instance hypernym,instance hypernym
770151,766234,hypernym,instance hypernym
4903813,1763829,derivationally related form,similar to
1908287,8107499,hypernym,instance hyponym
7861421,1577513,derivationally related form,derivationally related form
1046587,1046059,hypernym,Similar to
951037,949619,hypernym,domain topic of
13266892,13265904,hypernym,synset
15121625,28270,hypernym,hypernym
6754184,6753800,hypernym,instance hypernym
1194418,2492198,hypernym,Similar to
1008719,8441203,synset domain topic of,member of domain usage
474017,7357679,derivationally related form,derivationally related form
13627516,13627327,has part,has part
964569,1118449,derivationally related form,similar to
4105068,4014297,hypernym,hypernym
1322854,223983,derivationally related form,derivationally related form
1716882,7007945,derivationally related form,derivationally related form
8159924,7971582,hypernym,instance hypernym
6580646,6568978,hypernym,hypernym
968962,968211,hypernym,hypernym
1696849,1697837,member meronym,Hyponym
6643408,6797169,hypernym,similar to
6596978,6593296,hypernym,synset
7572957,7566340,hypernym,Hypernym
1695976,4681797,derivationally related form,derivationally related form
7091902,6290637,hypernym,Derivationally related form
2425228,2424695,hypernym,instance hypernym
6693198,860620,derivationally related form,synset
1057034,1253379,derivationally related form,derivationally related form
62582,89324,hypernym,verb group
1455592,1455986,member meronym,instance hypernym
7191777,7191279,hypernym,similar to
