head	relation	tail	prompt	prediction
/m/08966	/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month	1042531	Is the following triple valid? Head: Zürich, Relation: travel travel destination climate. travel travel destination monthly climate month, Tail: 1042531. Answer with 'Yes' or 'No'.	No
/m/01hww_	/music/performance_role/regular_performances./music/group_membership/group	1885158	Is the following triple valid? Head: Autoharp, Relation: music performance role regular performances. music group membership group, Tail: 1885158. Answer with 'Yes' or 'No'.	No
/m/09v3jyg	/film/film/release_date_s./film/film_regional_release_date/film_release_region	14656666	Is the following triple valid? Head: Winnie the Pooh, Relation: film film release date s. film film regional release date film release region, Tail: 14656666. Answer with 'Yes' or 'No'.	No
/m/02jx1	/location/location/contains	1224001	Is the following triple valid? Head: England, Relation: location location contains, Tail: 1224001. Answer with 'Yes' or 'No'.	No
2509287	/location/location/contains	/m/0m0bj	Is the following triple valid? Head: 2509287, Relation: location location contains, Tail: Lancaster. Answer with 'Yes' or 'No'.	No
/m/02bfmn	/film/actor/film./film/performance/film	12100538	Is the following triple valid? Head: Brad Dourif, Relation: film actor film. film performance film, Tail: 12100538. Answer with 'Yes' or 'No'.	No
2549989	/award/award_category/nominees./award/award_nomination/nominated_for	/m/04y9mm8	Is the following triple valid? Head: 2549989, Relation: award award category nominees. award award nomination nominated for, Tail: Piranha 3D. Answer with 'Yes' or 'No'.	No
420712	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	/m/04j53	Is the following triple valid? Head: 420712, Relation: government government office category officeholders. government government position held jurisdiction of office, Tail: Liechtenstein. Answer with 'Yes' or 'No'.	No
12268096	/film/film/genre	/m/082gq	Is the following triple valid? Head: 12268096, Relation: film film genre, Tail: War film. Answer with 'Yes' or 'No'.	No
12737745	/sports/pro_athlete/teams./sports/sports_team_roster/team	/m/029q3k	Is the following triple valid? Head: 12737745, Relation: sports pro athlete teams. sports sports team roster team, Tail: Notts County F.C.. Answer with 'Yes' or 'No'.	No
/m/0djb3vw	/film/film/release_date_s./film/film_regional_release_date/film_release_region	6673770	Is the following triple valid? Head: Restless, Relation: film film release date s. film film regional release date film release region, Tail: 6673770. Answer with 'Yes' or 'No'.	No
1478511	/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	/m/0dxmyh	Is the following triple valid? Head: 1478511, Relation: base popstra location vacationers. base popstra vacation choice vacationer, Tail: David Henrie. Answer with 'Yes' or 'No'.	No
/m/01d8l	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	12656685	Is the following triple valid? Head: Bohemia, Relation: olympics olympic participating country medals won. olympics olympic medal honor medal, Tail: 12656685. Answer with 'Yes' or 'No'.	No
/m/0ydpd	/location/location/time_zones	9357580	Is the following triple valid? Head: Asheville, Relation: location location time zones, Tail: 9357580. Answer with 'Yes' or 'No'.	No
/m/0738b8	/people/person/places_lived./people/place_lived/location	5526	Is the following triple valid? Head: David Cross, Relation: people person places lived. people place lived location, Tail: 5526. Answer with 'Yes' or 'No'.	No
7509996	/sports/sports_team/colors	/m/01g5v	Is the following triple valid? Head: 7509996, Relation: sports sports team colors, Tail: Blue. Answer with 'Yes' or 'No'.	No
/m/0mwk9	/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	4779895	Is the following triple valid? Head: Lycoming County, Relation: location statistical region rent50 2. measurement unit dated money value currency, Tail: 4779895. Answer with 'Yes' or 'No'.	No
/m/09306z	/award/award_ceremony/awards_presented./award/award_honor/honored_for	2530770	Is the following triple valid? Head: 58th Academy Awards, Relation: award award ceremony awards presented. award award honor honored for, Tail: 2530770. Answer with 'Yes' or 'No'.	No
1188273	/olympics/olympic_games/participating_countries	/m/027jk	Is the following triple valid? Head: 1188273, Relation: olympics olympic games participating countries, Tail: Djibouti. Answer with 'Yes' or 'No'.	No
11740824	/olympics/olympic_games/participating_countries	/m/04vjh	Is the following triple valid? Head: 11740824, Relation: olympics olympic games participating countries, Tail: Mauritania. Answer with 'Yes' or 'No'.	No
/m/017j69	/education/educational_institution/students_graduates./education/education/major_field_of_study	1835496	Is the following triple valid? Head: Northwestern University, Relation: education educational institution students graduates. education education major field of study, Tail: 1835496. Answer with 'Yes' or 'No'.	No
261705	/location/statistical_region/religions./location/religion_percentage/religion	/m/0631_	Is the following triple valid? Head: 261705, Relation: location statistical region religions. location religion percentage religion, Tail: Presbyterianism. Answer with 'Yes' or 'No'.	No
8948027	/military/military_conflict/combatants./military/military_combatant_group/combatants	/m/0d060g	Is the following triple valid? Head: 8948027, Relation: military military conflict combatants. military military combatant group combatants, Tail: Canada. Answer with 'Yes' or 'No'.	No
1274171	/award/award_category/winners./award/award_honor/ceremony	/m/01bx35	Is the following triple valid? Head: 1274171, Relation: award award category winners. award award honor ceremony, Tail: 43rd Annual Grammy Awards. Answer with 'Yes' or 'No'.	No
/m/01c9f2	/award/award_category/winners./award/award_honor/ceremony	14497763	Is the following triple valid? Head: Grammy Award for Best Country Album, Relation: award award category winners. award award honor ceremony, Tail: 14497763. Answer with 'Yes' or 'No'.	No
1630795	/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy	/m/04n6k	Is the following triple valid? Head: 1630795, Relation: user tsegaran random taxonomy subject entry. user tsegaran random taxonomy entry taxonomy, Tail: Library of Congress Classification. Answer with 'Yes' or 'No'.	No
2263982	/influence/influence_node/influenced_by	/m/0121rx	Is the following triple valid? Head: 2263982, Relation: influence influence node influenced by, Tail: Jackie Gleason. Answer with 'Yes' or 'No'.	No
/m/065ym0c	/film/film/release_date_s./film/film_regional_release_date/film_release_region	10153155	Is the following triple valid? Head: Detective Dee: Mystery of the Phantom Flame, Relation: film film release date s. film film regional release date film release region, Tail: 10153155. Answer with 'Yes' or 'No'.	No
/m/06kxk2	/people/person/place_of_birth	1680836	Is the following triple valid? Head: Carl Foreman, Relation: people person place of birth, Tail: 1680836. Answer with 'Yes' or 'No'.	No
4552348	/people/cause_of_death/people	/m/0lcx	Is the following triple valid? Head: 4552348, Relation: people cause of death people, Tail: Albert Camus. Answer with 'Yes' or 'No'.	No
8752974	/education/educational_institution/school_type	/m/04399	Is the following triple valid? Head: 8752974, Relation: education educational institution school type, Tail: Society of Jesus-GB. Answer with 'Yes' or 'No'.	No
/m/0xxc	/education/educational_institution/students_graduates./education/education/major_field_of_study	2774630	Is the following triple valid? Head: Acadia University, Relation: education educational institution students graduates. education education major field of study, Tail: 2774630. Answer with 'Yes' or 'No'.	No
7934530	/film/film/prequel	/m/01y9jr	Is the following triple valid? Head: 7934530, Relation: film film prequel, Tail: Charlie's Angels. Answer with 'Yes' or 'No'.	No
1777817	/award/award_category/nominees./award/award_nomination/nominated_for	/m/09gq0x5	Is the following triple valid? Head: 1777817, Relation: award award category nominees. award award nomination nominated for, Tail: The King's Speech. Answer with 'Yes' or 'No'.	No
/m/09sdmz	/award/award_category/nominees./award/award_nomination/nominated_for	276068	Is the following triple valid? Head: Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role, Relation: award award category nominees. award award nomination nominated for, Tail: 276068. Answer with 'Yes' or 'No'.	No
/m/02ghq	/people/person/profession	10064229	Is the following triple valid? Head: Dean Koontz, Relation: people person profession, Tail: 10064229. Answer with 'Yes' or 'No'.	No
7311661	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	/m/0dtfn	Is the following triple valid? Head: 7311661, Relation: film film distributor films distributed. film film film distributor relationship film, Tail: Star Wars Episode IV: A New Hope. Answer with 'Yes' or 'No'.	No
/m/016tt2	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	3685640	Is the following triple valid? Head: 20th Century Fox, Relation: film film distributor films distributed. film film film distributor relationship film, Tail: 3685640. Answer with 'Yes' or 'No'.	No
/m/016tt2	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	11094611	Is the following triple valid? Head: 20th Century Fox, Relation: award award nominee award nominations. award award nomination award nominee, Tail: 11094611. Answer with 'Yes' or 'No'.	No
/m/07jrjb	/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	4350458	Is the following triple valid? Head: Tom Werner, Relation: tv tv producer programs produced. tv tv producer term producer type, Tail: 4350458. Answer with 'Yes' or 'No'.	No
/m/09v71cj	/film/film/release_date_s./film/film_regional_release_date/film_release_region	14547369	Is the following triple valid? Head: The Beaver, Relation: film film release date s. film film regional release date film release region, Tail: 14547369. Answer with 'Yes' or 'No'.	No
2806907	/film/film/edited_by	/m/0dky9n	Is the following triple valid? Head: 2806907, Relation: film film edited by, Tail: Ralph E. Winters. Answer with 'Yes' or 'No'.	No
4908396	/sports/sports_team/sport	/m/0jm_	Is the following triple valid? Head: 4908396, Relation: sports sports team sport, Tail: American football. Answer with 'Yes' or 'No'.	No
2352946	/people/ethnicity/people	/m/0411q	Is the following triple valid? Head: 2352946, Relation: people ethnicity people, Tail: John Lee Hooker. Answer with 'Yes' or 'No'.	No
4874409	/people/ethnicity/people	/m/030wkp	Is the following triple valid? Head: 4874409, Relation: people ethnicity people, Tail: Kenan Thompson. Answer with 'Yes' or 'No'.	No
/m/0gmgwnv	/film/film/estimated_budget./measurement_unit/dated_money_value/currency	5331653	Is the following triple valid? Head: Lincoln, Relation: film film estimated budget. measurement unit dated money value currency, Tail: 5331653. Answer with 'Yes' or 'No'.	No
779601	/people/person/profession	/m/09jwl	Is the following triple valid? Head: 779601, Relation: people person profession, Tail: Musician-GB. Answer with 'Yes' or 'No'.	No
6121113	/organization/organization_member/member_of./organization/organization_membership/organization	/m/04k4l	Is the following triple valid? Head: 6121113, Relation: organization organization member member of. organization organization membership organization, Tail: League of Nations. Answer with 'Yes' or 'No'.	No
744305	/people/deceased_person/place_of_death	/m/027l4q	Is the following triple valid? Head: 744305, Relation: people deceased person place of death, Tail: Pacific Palisades. Answer with 'Yes' or 'No'.	Yes
/m/017jv5	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	729378	Is the following triple valid? Head: United Artists, Relation: film film distributor films distributed. film film film distributor relationship film, Tail: 729378. Answer with 'Yes' or 'No'.	No
/m/02x2gy0	/award/award_category/nominees./award/award_nomination/nominated_for	1473346	Is the following triple valid? Head: Satellite Award for Best Costume Design, Relation: award award category nominees. award award nomination nominated for, Tail: 1473346. Answer with 'Yes' or 'No'.	No
1699172	/film/film/executive_produced_by	/m/0g_rs_	Is the following triple valid? Head: 1699172, Relation: film film executive produced by, Tail: Boaz Davidson. Answer with 'Yes' or 'No'.	Yes
18526	/music/record_label/artist	/m/03h_yfh	Is the following triple valid? Head: 18526, Relation: music record label artist, Tail: Nat King Cole. Answer with 'Yes' or 'No'.	Yes
10531694	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0bdw6t	Is the following triple valid? Head: 10531694, Relation: award award nominee award nominations. award award nomination award, Tail: Primetime Emmy Award for Outstanding Lead Actor - Drama Series. Answer with 'Yes' or 'No'.	No
13294503	/film/actor/film./film/performance/film	/m/0k2cb	Is the following triple valid? Head: 13294503, Relation: film actor film. film performance film, Tail: Dangerous Liaisons. Answer with 'Yes' or 'No'.	No
7029819	/film/film/featured_film_locations	/m/06c62	Is the following triple valid? Head: 7029819, Relation: film film featured film locations, Tail: Rome. Answer with 'Yes' or 'No'.	No
/m/019vhk	/film/film/film_festivals	11881742	Is the following triple valid? Head: Gangs of New York, Relation: film film film festivals, Tail: 11881742. Answer with 'Yes' or 'No'.	No
604131	/people/person/gender	/m/05zppz	Is the following triple valid? Head: 604131, Relation: people person gender, Tail: Male. Answer with 'Yes' or 'No'.	No
/m/0dr1c2	/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	7760859	Is the following triple valid? Head: Vampire Knight, Relation: tv tv program regular cast. tv regular tv appearance actor, Tail: 7760859. Answer with 'Yes' or 'No'.	No
6380879	/location/location/contains	/m/013m43	Is the following triple valid? Head: 6380879, Relation: location location contains, Tail: Garland. Answer with 'Yes' or 'No'.	No
9433442	/people/person/profession	/m/01d_h8	Is the following triple valid? Head: 9433442, Relation: people person profession, Tail: Film Producer-GB. Answer with 'Yes' or 'No'.	No
/m/0prjs	/film/director/film	4037625	Is the following triple valid? Head: Kenneth Branagh, Relation: film director film, Tail: 4037625. Answer with 'Yes' or 'No'.	No
13727209	/award/award_nominee/award_nominations./award/award_nomination/award	/m/01c9dd	Is the following triple valid? Head: 13727209, Relation: award award nominee award nominations. award award nomination award, Tail: Grammy Award for Best Rap Album. Answer with 'Yes' or 'No'.	No
/m/0kvgnq	/award/award_winning_work/awards_won./award/award_honor/award_winner	2459915	Is the following triple valid? Head: The Unbearable Lightness of Being, Relation: award award winning work awards won. award award honor award winner, Tail: 2459915. Answer with 'Yes' or 'No'.	No
6493392	/award/award_category/winners./award/award_honor/ceremony	/m/013b2h	Is the following triple valid? Head: 6493392, Relation: award award category winners. award award honor ceremony, Tail: 44th Annual Grammy Awards. Answer with 'Yes' or 'No'.	No
12678548	/award/award_category/nominees./award/award_nomination/nominated_for	/m/07yk1xz	Is the following triple valid? Head: 12678548, Relation: award award category nominees. award award nomination nominated for, Tail: Invictus. Answer with 'Yes' or 'No'.	No
14775995	/film/film/language	/m/02bjrlw	Is the following triple valid? Head: 14775995, Relation: film film language, Tail: Italian Language. Answer with 'Yes' or 'No'.	No
/m/02kth6	/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency	1276361	Is the following triple valid? Head: Long Island University, Relation: organization non profit organization registered with. organization non profit registration registering agency, Tail: 1276361. Answer with 'Yes' or 'No'.	No
2558172	/film/actor/film./film/performance/film	/m/03s6l2	Is the following triple valid? Head: 2558172, Relation: film actor film. film performance film, Tail: Confessions of a Dangerous Mind. Answer with 'Yes' or 'No'.	No
7319652	/people/person/profession	/m/05z96	Is the following triple valid? Head: 7319652, Relation: people person profession, Tail: Poet. Answer with 'Yes' or 'No'.	No
/m/0p9sw	/award/award_category/nominees./award/award_nomination/nominated_for	1648993	Is the following triple valid? Head: Academy Award for Best Sound Mixing, Relation: award award category nominees. award award nomination nominated for, Tail: 1648993. Answer with 'Yes' or 'No'.	No
/m/01hydr	/music/genre/parent_genre	12281241	Is the following triple valid? Head: Glitch, Relation: music genre parent genre, Tail: 12281241. Answer with 'Yes' or 'No'.	No
/m/01gtc0	/government/legislative_session/members./government/government_position_held/district_represented	1406262	Is the following triple valid? Head: 25th United States Congress, Relation: government legislative session members. government government position held district represented, Tail: 1406262. Answer with 'Yes' or 'No'.	No
/m/0h63gl9	/film/film/release_date_s./film/film_regional_release_date/film_release_region	1084866	Is the following triple valid? Head: Magic Mike, Relation: film film release date s. film film regional release date film release region, Tail: 1084866. Answer with 'Yes' or 'No'.	No
/m/033cnk	/food/food/nutrients./food/nutrition_fact/nutrient	1077568	Is the following triple valid? Head: Egg, Relation: food food nutrients. food nutrition fact nutrient, Tail: 1077568. Answer with 'Yes' or 'No'.	No
/m/033cnk	/food/food/nutrients./food/nutrition_fact/nutrient	1411630	Is the following triple valid? Head: Egg, Relation: food food nutrients. food nutrition fact nutrient, Tail: 1411630. Answer with 'Yes' or 'No'.	No
/m/084m3	/film/actor/film./film/performance/film	1177314	Is the following triple valid? Head: William Shatner, Relation: film actor film. film performance film, Tail: 1177314. Answer with 'Yes' or 'No'.	No
1853069	/education/educational_degree/people_with_this_degree./education/education/institution	/m/01x5fb	Is the following triple valid? Head: 1853069, Relation: education educational degree people with this degree. education education institution, Tail: Royal Holloway, University of London. Answer with 'Yes' or 'No'.	No
9405949	/film/film/production_companies	/m/03sb38	Is the following triple valid? Head: 9405949, Relation: film film production companies, Tail: StudioCanal. Answer with 'Yes' or 'No'.	No
/m/016yvw	/people/person/spouse_s./people/marriage/type_of_union	15036321	Is the following triple valid? Head: Daniel Day-Lewis, Relation: people person spouse s. people marriage type of union, Tail: 15036321. Answer with 'Yes' or 'No'.	No
/m/06ltr	/film/actor/film./film/performance/film	4314522	Is the following triple valid? Head: Robbie Coltrane, Relation: film actor film. film performance film, Tail: 4314522. Answer with 'Yes' or 'No'.	No
7252378	/education/educational_institution/students_graduates./education/education/student	/m/03q95r	Is the following triple valid? Head: 7252378, Relation: education educational institution students graduates. education education student, Tail: E. G. Marshall. Answer with 'Yes' or 'No'.	No
2753642	/people/person/profession	/m/0n1h	Is the following triple valid? Head: 2753642, Relation: people person profession, Tail: Artist-GB. Answer with 'Yes' or 'No'.	No
/m/049t4g	/award/award_nominee/award_nominations./award/award_nomination/award	7482521	Is the following triple valid? Head: Ian Bannen, Relation: award award nominee award nominations. award award nomination award, Tail: 7482521. Answer with 'Yes' or 'No'.	No
/m/08k881	/film/actor/film./film/performance/film	7218470	Is the following triple valid? Head: James LeGros, Relation: film actor film. film performance film, Tail: 7218470. Answer with 'Yes' or 'No'.	No
6014435	/people/person/profession	/m/016z4k	Is the following triple valid? Head: 6014435, Relation: people person profession, Tail: Singer-songwriter-GB. Answer with 'Yes' or 'No'.	No
/m/0h_cssd	/award/award_ceremony/awards_presented./award/award_honor/award_winner	12679712	Is the following triple valid? Head: 2012 British Academy Film Awards, Relation: award award ceremony awards presented. award award honor award winner, Tail: 12679712. Answer with 'Yes' or 'No'.	No
15124361	/music/genre/artists	/m/0153nq	Is the following triple valid? Head: 15124361, Relation: music genre artists, Tail: Dio. Answer with 'Yes' or 'No'.	No
/m/01wxdn3	/people/person/nationality	1013040	Is the following triple valid? Head: David J, Relation: people person nationality, Tail: 1013040. Answer with 'Yes' or 'No'.	No
/m/01wxdn3	/music/artist/track_contributions./music/track_contribution/role	13999206	Is the following triple valid? Head: David J, Relation: music artist track contributions. music track contribution role, Tail: 13999206. Answer with 'Yes' or 'No'.	No
/m/03g5jw	/influence/influence_node/influenced_by	12723062	Is the following triple valid? Head: Kings of Leon, Relation: influence influence node influenced by, Tail: 12723062. Answer with 'Yes' or 'No'.	No
4696432	/organization/organization/headquarters./location/mailing_address/citytown	/m/09bkv	Is the following triple valid? Head: 4696432, Relation: organization organization headquarters. location mailing address citytown, Tail: Westminster. Answer with 'Yes' or 'No'.	No
